Site	Status	Sex	Protocol	sample_id	file name	file type	url
EXP	control	female	Buffy Coat method	MOHD_EA100013	MOHD_EA100013_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100013/MOHD_EA100013_peaks-pseudorep_GRCh38_v0.bigBed
EXP	control	female	Buffy Coat method	MOHD_EA100013	MOHD_EA100013_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100013/MOHD_EA100013_signal-pvalue_GRCh38_v0.bigWig
EXP	control	female	Buffy Coat method	MOHD_EA100013	MOHD_EA100013_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100013/MOHD_EA100013_peaks-FDR5_GRCh38_v0.bigBed
EXP	control	female	Buffy Coat method	MOHD_EA100013	MOHD_EA100013_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100013/MOHD_EA100013_signal-FC_GRCh38_v0.bigWig
EXP	control	female	OPC method	MOHD_EA100014	MOHD_EA100014_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100014/MOHD_EA100014_peaks-FDR5_GRCh38_v0.bigBed
EXP	control	female	OPC method	MOHD_EA100014	MOHD_EA100014_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100014/MOHD_EA100014_signal-FC_GRCh38_v0.bigWig
EXP	control	female	OPC method	MOHD_EA100014	MOHD_EA100014_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100014/MOHD_EA100014_signal-pvalue_GRCh38_v0.bigWig
EXP	control	female	OPC method	MOHD_EA100014	MOHD_EA100014_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100014/MOHD_EA100014_peaks-pseudorep_GRCh38_v0.bigBed
EXP	control	female	Buffy Coat method	MOHD_EA100016	MOHD_EA100016_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100016/MOHD_EA100016_signal-FC_GRCh38_v0.bigWig
EXP	control	female	Buffy Coat method	MOHD_EA100016	MOHD_EA100016_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100016/MOHD_EA100016_peaks-pseudorep_GRCh38_v0.bigBed
EXP	control	female	Buffy Coat method	MOHD_EA100016	MOHD_EA100016_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100016/MOHD_EA100016_signal-pvalue_GRCh38_v0.bigWig
EXP	control	female	Buffy Coat method	MOHD_EA100016	MOHD_EA100016_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100016/MOHD_EA100016_peaks-FDR5_GRCh38_v0.bigBed
EXP	control	female	OPC method	MOHD_EA100017	MOHD_EA100017_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100017/MOHD_EA100017_signal-FC_GRCh38_v0.bigWig
EXP	control	female	OPC method	MOHD_EA100017	MOHD_EA100017_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100017/MOHD_EA100017_peaks-FDR5_GRCh38_v0.bigBed
EXP	control	female	OPC method	MOHD_EA100017	MOHD_EA100017_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100017/MOHD_EA100017_peaks-pseudorep_GRCh38_v0.bigBed
EXP	control	female	OPC method	MOHD_EA100017	MOHD_EA100017_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100017/MOHD_EA100017_signal-pvalue_GRCh38_v0.bigWig
EXP	case	female	Buffy Coat method	MOHD_EA100018	MOHD_EA100018_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100018/MOHD_EA100018_signal-FC_GRCh38_v0.bigWig
EXP	case	female	Buffy Coat method	MOHD_EA100018	MOHD_EA100018_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100018/MOHD_EA100018_peaks-FDR5_GRCh38_v0.bigBed
EXP	case	female	Buffy Coat method	MOHD_EA100018	MOHD_EA100018_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100018/MOHD_EA100018_peaks-pseudorep_GRCh38_v0.bigBed
EXP	case	female	Buffy Coat method	MOHD_EA100018	MOHD_EA100018_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100018/MOHD_EA100018_signal-pvalue_GRCh38_v0.bigWig
EXP	case	female	OPC method	MOHD_EA100019	MOHD_EA100019_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100019/MOHD_EA100019_signal-pvalue_GRCh38_v0.bigWig
EXP	case	female	OPC method	MOHD_EA100019	MOHD_EA100019_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100019/MOHD_EA100019_peaks-pseudorep_GRCh38_v0.bigBed
EXP	case	female	OPC method	MOHD_EA100019	MOHD_EA100019_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100019/MOHD_EA100019_signal-FC_GRCh38_v0.bigWig
EXP	case	female	OPC method	MOHD_EA100019	MOHD_EA100019_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100019/MOHD_EA100019_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100020	MOHD_EA100020_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100020/MOHD_EA100020_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100020	MOHD_EA100020_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100020/MOHD_EA100020_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100020	MOHD_EA100020_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100020/MOHD_EA100020_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100020	MOHD_EA100020_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100020/MOHD_EA100020_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	CPT method	MOHD_EA100021	MOHD_EA100021_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100021/MOHD_EA100021_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	CPT method	MOHD_EA100021	MOHD_EA100021_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100021/MOHD_EA100021_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100021	MOHD_EA100021_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100021/MOHD_EA100021_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100021	MOHD_EA100021_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100021/MOHD_EA100021_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100022	MOHD_EA100022_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100022/MOHD_EA100022_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100022	MOHD_EA100022_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100022/MOHD_EA100022_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	OPC method	MOHD_EA100022	MOHD_EA100022_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100022/MOHD_EA100022_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100022	MOHD_EA100022_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100022/MOHD_EA100022_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100023	MOHD_EA100023_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100023/MOHD_EA100023_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100023	MOHD_EA100023_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100023/MOHD_EA100023_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100023	MOHD_EA100023_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100023/MOHD_EA100023_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100023	MOHD_EA100023_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100023/MOHD_EA100023_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100024	MOHD_EA100024_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100024/MOHD_EA100024_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100024	MOHD_EA100024_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100024/MOHD_EA100024_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	CPT method	MOHD_EA100024	MOHD_EA100024_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100024/MOHD_EA100024_peaks-pseudorep_GRCh38_v0.bigBed
